school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Bloomfield College,1839,1700,New Jersey,Suburb,NA,87.24,63.3,98.73,1,1,3,1,0,1,2,1,4,2.052641469199204,0.005123870170565841
Bloomsburg University of Pennsylvania,8578,7863,Pennsylvania,Small City,public,99.86,98.27,100.0,4,3,8,2,1,4,6,4,12,5.314820594468524,1.2335827088460252
Blue Mountain College,590,531,Mississippi,Rural,NA,56.0,29.06,84.83,1,0,1,0,0,1,1,0,2,0.7154389480072972,0.10479569045386052
Bluefield College,949,829,Virginia,Town,NA,70.81,34.42,93.16,1,0,2,0,0,1,1,0,3,0.983153805612913,0.24712299357320466
Bluefield State College,1380,1099,West Virginia,Town,NA,18.12,6.14,35.64,0,0,0,0,0,0,0,0,0,0.02770120136949778,0.17206601158263496
Bluffton University,735,660,Ohio,Town,NA,24.45,14.06,42.97,0,0,0,0,0,0,0,0,0,0.18671714849534912,0.09360655120730041
Boise State University,20744,12477,Idaho,Midsize City,public,100.0,99.77,100.0,15,4,52,8,2,28,23,6,80,12.823109127730532,10.116317376948924
Boston College,9924,9681,Massachusetts,Small City,private,100.0,99.76,100.0,8,4,15,4,2,8,12,6,23,3.337795994199207,7.991976789078137
Boston University,18086,16840,Massachusetts,Large City,private,100.0,100.0,100.0,15,8,30,7,4,15,22,12,45,5.206187020739343,16.881527777958343
Bowdoin College,1819,1813,Maine,Town,private,86.09,62.61,99.17,1,1,3,1,0,2,2,1,5,0.0348635416508995,1.9350574595904806
Bowie State University,5185,4389,Maryland,Suburb,NA,96.85,86.9,99.84,2,1,4,1,1,2,3,2,6,2.972996073722242,0.48432435836481513
Bowling Green State University - Main Campus,14679,13104,Ohio,Town,public,99.63,94.46,100.0,4,2,8,2,1,4,6,3,12,3.990726012462781,1.5938971904287258
Bradley University,4645,4512,Illinois,Midsize City,NA,84.1,71.96,95.73,1,1,2,1,0,1,2,1,3,1.3926894818381519,0.44547210324646
Brandeis University,3630,3620,Massachusetts,Small City,NA,98.51,89.26,99.99,3,1,6,1,1,3,4,2,9,1.1104466363680146,3.0938602253542418
BreNAu University,1737,1080,Georgia,Small City,NA,46.51,18.57,89.13,0,0,2,0,0,1,0,0,3,0.49829008325495566,0.12732002096179104
Brescia University,1177,715,Kentucky,Small City,NA,44.61,22.57,75.65,0,0,1,0,0,0,0,0,1,0.4926369848117009,0.09804380474091948
Brevard College,673,656,North CaroliNA,Town,NA,47.41,25.83,76.61,0,0,1,0,0,0,0,0,1,0.09118246108875062,0.5505015929444251
Brewton - Parker College,782,438,Georgia,Rural,NA,54.4,31.86,86.34,1,0,1,0,0,1,1,0,2,0.19448488022629717,0.589318831077906
Briar Cliff University,943,720,Iowa,Small City,NA,52.26,28.78,83.58,0,0,1,0,0,1,0,0,2,0.13338235431495926,0.6048165192541108
Bridgewater College,1880,1876,Virginia,Suburb,private,91.08,55.1,99.41,2,1,3,1,0,2,3,1,5,2.1672758156084657,0.24804464219656153
Bridgewater State University,9562,7858,Massachusetts,Suburb,NA,100.0,99.8,100.0,8,4,16,4,2,8,12,6,24,11.933427689899059,0.23444204810065622
Brigham Young University - Hawaii,3138,2702,Hawaii,Town,private,98.76,84.87,100.0,3,1,8,1,1,4,4,2,12,2.8172993536602986e-05,4.384256847037162
Brigham Young University - Idaho,51883,17230,Idaho,Town,NA,100.0,100.0,100.0,49,20,155,25,10,85,74,30,240,9.038618280404592,65.1405334396882
Brigham Young University - Provo,31232,28156,Utah,Midsize City,NA,100.0,100.0,100.0,30,12,88,15,6,47,45,18,135,10.047754485348845,35.24825339812958
Brown University,6986,6666,Rhode Island,Midsize City,NA,99.99,99.22,100.0,6,3,13,3,2,6,9,5,19,0.0967944454454798,9.050840355398352
Bryan College - Dayton,1238,833,Tennessee,Town,NA,57.65,28.74,89.0,1,0,1,0,0,1,1,0,2,0.18326047444660123,0.6747259870255395
Bryant University,3476,3418,Rhode Island,Suburb,private,95.61,81.24,99.79,2,1,4,1,1,2,3,2,6,0.0837827331069071,3.039232804093074
Bryn Athyn College of the New Church,329,313,Pennsylvania,Suburb,private,22.27,14.16,37.01,0,0,0,0,0,0,0,0,0,0.16357709173040275,0.08826152075883634
Bryn Mawr College,1340,1325,Pennsylvania,Suburb,NA,83.47,60.42,97.7,1,1,2,1,0,1,2,1,3,0.134879356339104,1.6625755526663983
Bucknell University,3608,3585,Pennsylvania,Town,private,97.08,85.39,99.94,2,1,5,1,1,2,3,2,7,0.6227408579911824,2.909092406221725
BueNA Vista University,1805,1522,Iowa,Town,private,52.14,27.26,86.19,0,0,1,0,0,1,0,0,2,0.44973793826710623,0.2865708852650436
Butler University,4288,4182,IndiaNA,Large City,NA,89.25,75.11,98.3,1,1,3,1,0,1,2,1,4,0.9978102994242933,1.2312330600521975
Cabrini University,1687,1479,Pennsylvania,Suburb,private,74.6,54.61,92.63,1,1,2,0,0,1,1,1,3,0.6492862632281337,0.7206875979357198
Caldwell University,1605,1440,New Jersey,Suburb,NA,82.31,57.69,97.34,1,1,2,1,0,1,2,1,3,1.5820577262605218,0.14895341317819802
California Baptist University,7421,6367,California,Large City,NA,100.0,99.99,100.0,11,6,23,6,3,12,17,9,35,16.19557632527288,0.8540715022625054
California Institute of Technology,962,961,California,Midsize City,NA,80.66,57.43,97.06,1,1,2,1,0,1,2,1,3,0.7609770285623622,0.8797784465779128
California Lutheran University,2968,2858,California,Midsize City,private,99.87,97.54,100.0,4,2,9,2,1,4,6,3,13,5.816038718298054,0.8193666620476695
California State University Maritime Academy,1050,1007,California,Midsize City,NA,88.39,71.03,98.5,1,1,3,1,0,1,2,1,4,2.074962208316006,0.07596085740725991
California Polytechnic State University - San Luis Obispo,21348,20584,California,Suburb,NA,100.0,100.0,100.0,32,18,65,16,9,33,48,27,98,45.124519824129635,2.9847009124953874
California State Polytechnic University - PomoNA,24318,21668,California,Suburb,NA,100.0,100.0,100.0,38,22,75,19,11,38,57,33,113,57.07091385947976,0.37414241229709805
California State University - Bakersfield,8816,7502,California,Large City,NA,100.0,100.0,100.0,14,8,27,7,4,14,21,12,41,20.605461838618744,0.23368248300175687
California State University - Channel Islands,7054,5858,California,Suburb,NA,100.0,99.99,100.0,11,6,22,6,3,11,17,9,33,16.670596147450006,0.0
California State University - Chico,16709,15446,California,Small City,NA,100.0,100.0,100.0,26,15,51,13,7,26,39,22,77,38.73892997575851,0.36001399831612185
California State University - Dominguez Hills,13279,10084,California,Small City,NA,100.0,100.0,100.0,21,12,41,10,6,20,31,18,61,31.22841756342563,0.08597172886712058
California State University - East Bay,13473,11539,California,Midsize City,NA,100.0,100.0,100.0,21,12,41,10,6,21,31,18,62,31.33003871941377,0.15937343273928375
California State University - Fresno,22260,19432,California,Large City,NA,100.0,100.0,100.0,35,20,69,17,10,34,52,30,103,52.19782493744376,0.31771716488532165
California State University - Fullerton,35161,28475,California,Suburb,public,100.0,100.0,100.0,55,32,108,27,16,54,82,48,162,82.75507021480819,0.23240822001188657
California State University - Long Beach,31564,27507,California,Large City,public,100.0,100.0,100.0,50,28,97,25,14,48,75,42,145,73.76277955120635,0.38945323322261777
California State University - Los Angeles,24820,21004,California,Large City,public,100.0,100.0,100.0,39,23,77,19,11,38,58,34,115,58.32581697179844,0.29857677748653444
California State University - Monterey Bay,6762,6109,California,Suburb,NA,100.0,99.99,100.0,11,6,21,5,3,11,16,9,32,15.67565413184518,0.2128995264084988
California State University - Northridge,35836,29739,California,Large City,NA,100.0,100.0,100.0,56,32,110,28,16,55,84,48,165,84.14468044087859,0.24288698897438446
California State University - Sacramento,28449,23491,California,Large City,public,100.0,100.0,100.0,45,26,88,22,13,44,67,39,132,66.67529474170783,0.3839518812295384
California State University - San BerNArdino,18324,16381,California,Midsize City,public,100.0,100.0,100.0,29,17,56,14,8,28,43,25,84,43.11572953134079,0.08662926499323803
California State University - San Marcos,14616,11634,California,Suburb,NA,100.0,100.0,100.0,23,13,45,11,7,23,34,20,68,34.39994294333461,0.1506694802899336
California State University - Stanislaus,9058,7621,California,Suburb,NA,100.0,100.0,100.0,14,8,28,7,4,14,21,12,42,21.32153649593053,0.059962145098366906
California University of Pennsylvania,5553,4534,Pennsylvania,Suburb,public,98.29,92.36,99.95,3,2,5,1,1,3,4,3,8,3.71779161994275,0.3487696455341517
Calumet College of Saint Joseph,624,427,IndiaNA,Suburb,private,22.78,16.82,33.15,0,0,0,0,0,0,0,0,0,0.20553486801521537,0.052878894586183854
Calvin College,3737,3524,Michigan,Midsize City,NA,94.37,79.94,99.77,2,1,4,1,1,2,3,2,6,1.468056384165515,1.4072674023303076
Cambridge College,750,221,Massachusetts,Large City,private,61.9,38.8,85.46,1,0,1,0,0,1,1,0,2,0.963247896198301,0.0010960491766379566
