school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of North CaroliNA at Wilmington,14499,12346,North CaroliNA,Midsize City,NA,100.0,99.4,100.0,7,4,14,3,1,6,10,5,20,6.134186338843154,3.9557235856686908
University of North Dakota,10999,8525,North Dakota,Small City,public,100.0,98.93,100.0,7,3,17,3,1,8,10,4,25,7.328520608908982,3.2014461692951697
University of North Florida,14251,10223,Florida,Large City,NA,100.0,100.0,100.0,60,34,117,26,15,53,86,49,170,85.86968464598657,0.45311628209430516
University of North Texas,31444,25592,Texas,Midsize City,NA,100.0,100.0,100.0,145,70,309,64,29,142,209,99,451,207.20484197416636,1.4515328000092378
University of Northern Colorado,10103,8328,Colorado,Midsize City,NA,99.58,91.53,100.0,4,2,9,2,1,4,6,3,13,3.860343219712566,1.6113573098228355
University of Northern Iowa,9959,9100,Iowa,Small City,NA,99.94,95.2,100.0,5,2,13,2,1,6,7,3,19,7.157358527573868,0.3149892391718591
University of Notre Dame,8577,8557,IndiaNA,Suburb,private,100.0,99.97,100.0,10,6,20,4,2,9,14,8,29,0.392737787821633,14.355222728438774
University of Oklahoma Norman Campus,22028,19065,Oklahoma,Suburb,NA,100.0,100.0,100.0,37,18,81,16,7,36,53,25,117,11.95596549224048,41.60827251002736
University of Oregon,19336,17801,Oregon,Midsize City,NA,100.0,100.0,100.0,23,14,43,10,6,19,33,20,62,6.803918329680006,26.566843281515695
University of Pennsylvania,11719,10496,Pennsylvania,Large City,NA,100.0,100.0,100.0,16,9,31,7,4,13,23,13,44,2.1616674752971403,21.02575342973612
University of Phoenix - New Mexico,216,217,New Mexico,Large City,private,70.79,43.47,93.34,1,0,2,0,0,1,1,0,3,0.08079782402269374,1.1459983651006567
University of Phoenix - Hawaii,661,661,Hawaii,Large City,NA,2.99,1.8,5.08,0,0,0,0,0,0,0,0,0,0.0011496554238348197,0.029220222543746597
University of Phoenix - New Jersey,111,111,New Jersey,Large City,NA,21.02,12.35,35.18,0,0,0,0,0,0,0,0,0,0.20130329996217025,0.034389236920934846
University of Phoenix - Kentucky,18,18,Kentucky,Suburb,NA,1.7,0.81,3.75,0,0,0,0,0,0,0,0,0,0.01503590849842993,0.0020890307862852816
University of Phoenix - Utah,122,122,Utah,Suburb,NA,19.68,7.25,42.64,0,0,0,0,0,0,0,0,0,0.21897200441127757,0.0
University of Pittsburgh - Bradford,1337,1229,Pennsylvania,Town,NA,77.88,59.69,92.99,1,1,2,0,0,1,1,1,3,1.0609785724256335,0.44652624988315676
University of Pittsburgh - Greensburg,1524,1436,Pennsylvania,Suburb,NA,78.91,61.13,93.54,1,1,2,0,0,1,1,1,3,1.5120471977467043,0.04330509507465288
University of Pittsburgh - Johnstown,2785,2713,Pennsylvania,Suburb,NA,94.42,82.69,99.38,2,1,4,1,1,2,3,2,6,2.7807413448122893,0.1045149033825294
University of Pittsburgh - Pittsburgh Campus,19329,18390,Pennsylvania,Large City,public,100.0,100.0,100.0,16,10,29,7,4,12,23,14,41,13.575841944482699,9.542422523986591
University of Portland,3888,3792,Oregon,Large City,private,99.73,96.81,100.0,4,2,8,2,1,4,6,3,12,0.7846091106141307,5.1293139739972595
University of Puget Sound,2415,2390,Washington,Midsize City,NA,98.85,91.96,99.98,3,2,6,1,1,3,4,3,9,0.5800852625378662,3.8807473667631136
University of Redlands,3133,2518,California,Small City,private,99.99,99.51,100.0,7,4,13,3,2,5,10,6,18,7.965661613782686,1.4974313259546548
University of Rhode Island,15100,12629,Rhode Island,Suburb,NA,100.0,99.97,100.0,10,6,17,4,2,7,14,8,24,4.103463669325871,9.810417794623694
University of Richmond,3265,3035,Virginia,Midsize City,NA,99.5,94.1,100.0,4,2,7,2,1,3,6,3,10,1.184742670765433,4.10678017901054
University of Rio Grande,1755,1269,Ohio,Rural,NA,70.15,48.55,89.39,1,0,2,0,0,1,1,0,3,1.1610109350029671,0.04757181808056485
University of Rochester,6542,6250,New York,Midsize City,private,99.99,99.61,100.0,7,4,12,3,2,5,10,6,17,3.621923559994173,5.948921291432442
University of Saint Francis - Fort Wayne,1906,1523,IndiaNA,Large City,NA,73.71,57.02,89.12,1,1,2,0,0,1,1,1,3,1.1385217785254786,0.1968430080046371
University of Saint Mary,750,641,Kansas,Town,NA,67.48,41.94,91.34,1,0,2,0,0,1,1,0,3,0.062404167916353157,1.0578618151367494
University of San Diego,5776,5605,California,Large City,NA,100.0,99.99,100.0,12,7,23,5,3,10,17,10,33,12.40734389612234,4.8036221930535845
University of San Francisco,6847,6586,California,Large City,NA,100.0,100.0,100.0,15,9,29,6,4,12,21,13,41,18.691773703862413,2.7894913138591733
University of Science and Arts of Oklahoma,881,727,Oklahoma,Town,public,57.65,31.78,85.48,1,0,1,0,0,1,1,0,2,0.718187910846492,0.14037480482906906
University of Scranton,3809,3630,Pennsylvania,Small City,private,99.71,96.64,100.0,4,2,7,2,1,3,6,3,10,1.4967739937290607,4.350171105225908
University of Sioux Falls,1214,1036,South Dakota,Midsize City,private,64.03,41.0,87.84,1,0,1,0,0,1,1,0,2,0.4605719222041426,0.5608661521900025
University of South Alabama,10986,9090,Alabama,Midsize City,public,100.0,100.0,100.0,16,8,31,6,3,12,22,11,43,13.20936531628722,8.383847412801325
University of South CaroliNA - Aiken,3352,2716,South CaroliNA,Suburb,public,100.0,99.07,100.0,7,3,15,3,1,6,10,4,21,9.772782480661004,0.5319614617953748
University of South CaroliNA - Beaufort,2078,1797,South CaroliNA,Town,NA,99.79,93.82,100.0,4,2,9,2,1,4,6,3,13,5.842354100302629,0.30395586415026776
University of South CaroliNA - Columbia,26363,25243,South CaroliNA,Midsize City,NA,100.0,100.0,100.0,45,22,90,18,8,38,63,30,128,49.14488797363466,14.520933655937124
University of South CaroliNA - Upstate,5776,4583,South CaroliNA,Suburb,public,100.0,99.97,100.0,13,6,26,5,2,11,18,8,37,17.44309259023466,0.7406712415275661
University of South Dakota,7652,4908,South Dakota,Town,public,99.69,96.05,100.0,4,2,7,2,1,3,6,3,10,4.1185608051769425,1.646172163058385
University of South Florida - Main Campus,31773,24672,Florida,Large City,NA,100.0,100.0,100.0,131,74,255,57,32,116,188,106,371,184.75871975339555,2.7787715108391207
University of South Florida - St. Petersburg,4251,2845,Florida,Large City,NA,100.0,100.0,100.0,18,10,34,8,4,16,26,14,50,25.069503188163296,0.20963049602254039
University of Southern California,19174,18631,California,Large City,private,100.0,100.0,100.0,41,23,77,17,9,33,58,32,110,42.19231087042313,15.393188314413344
University of Southern IndiaNA,9689,6588,IndiaNA,Suburb,NA,99.9,98.73,100.0,5,3,8,2,1,3,7,4,11,6.2684850460467025,0.6202883786602035
University of Southern Maine,6110,3901,Maine,Small City,NA,93.46,70.96,99.51,2,1,4,1,0,2,3,1,6,1.7228408896097644,1.0036807899016902
University of Southern Mississippi,11809,10384,Mississippi,Small City,NA,100.0,100.0,100.0,31,16,60,12,6,25,43,22,85,37.89577153170658,5.697111527191883
University of St Francis,1600,1291,Illinois,Suburb,NA,69.21,51.36,88.77,1,1,2,0,0,1,1,1,3,0.7588930464484457,0.41786187117976725
University of St Thomas Minnesota,6197,5945,Minnesota,Large City,NA,84.02,65.16,96.85,1,1,2,1,0,1,2,1,3,0.9359504076497488,0.8968806454156628
