school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Grambling State University,4075,3734,LouisiaNA,Town,NA,100.0,100.0,100.0,23,10,51,11,5,26,34,15,77,15.870103181253208,17.69641574555521
Grand Canyon University,49564,15998,ArizoNA,Large City,NA,100.0,100.0,100.0,233,115,493,111,52,248,344,167,741,106.49050374874781,237.55326631737924
Grand Valley State University,21935,19373,Michigan,Suburb,NA,100.0,100.0,100.0,48,23,105,23,10,54,71,33,159,68.63032692370886,2.295857099519514
Grand View University,1787,1574,Iowa,Midsize City,NA,99.97,95.38,100.0,5,2,14,3,1,7,8,3,21,4.341743890978229,3.845689307003415
Granite State College,1758,807,New Hampshire,Town,NA,75.8,0.0,96.23,1,0,2,0,0,1,1,0,3,1.4181036008081431,0.00019205750551388561
Grantham University,7817,3296,Kansas,Suburb,NA,100.0,100.0,100.0,35,16,77,17,7,41,52,23,118,0.1473399688301011,51.88443236572542
Greensboro College,944,772,North CaroliNA,Large City,NA,97.15,82.3,99.94,2,1,5,1,1,2,3,2,7,0.7001970492095562,2.843680024459566
Greenville University,988,887,Illinois,Town,NA,89.63,67.5,99.26,2,1,3,1,0,2,3,1,5,0.9712844512231104,1.2882967783685
Grinnell College,1717,1662,Iowa,Town,private,99.86,95.69,100.0,4,2,10,2,1,5,6,3,15,0.8629738545341873,5.715420008946714
Grove City College,2376,2315,Pennsylvania,Town,NA,99.89,97.19,100.0,5,2,9,2,1,5,7,3,14,2.1122485336160906,4.702905859892165
Guilford College,1669,1429,North CaroliNA,Large City,NA,99.32,91.12,100.0,3,2,7,2,1,3,5,3,10,1.0865126625665527,3.894909802983617
Gustavus Adolphus College,2184,2150,Minnesota,Town,private,92.12,68.98,99.77,2,1,4,1,0,2,3,1,6,0.982596118389099,1.5492984602935296
Gwynedd Mercy University,2081,1934,Pennsylvania,Suburb,private,99.63,95.48,100.0,4,2,7,2,1,4,6,3,11,3.532125972553717,2.0700627116040784
Hamilton College,1894,1886,New York,Suburb,private,99.95,98.25,100.0,5,3,10,2,1,5,7,4,15,1.7343634872386178,5.75508551886569
Hamline University,2166,2082,Minnesota,Large City,NA,92.83,72.47,99.63,2,1,4,1,0,2,3,1,6,0.9353402519989101,1.6907356858446818
Hampden - Sydney College,1044,1039,Virginia,Rural,NA,99.41,89.17,100.0,3,2,7,2,1,4,5,3,11,3.738330083645306,1.3757963447871404
Hampshire College,1264,1268,Massachusetts,Suburb,private,99.42,92.81,100.0,3,2,7,2,1,4,5,3,11,0.9560023970358331,4.168958159534695
Hampton University,3796,3651,Virginia,Midsize City,NA,100.0,99.98,100.0,12,6,24,6,3,12,18,9,36,4.928513714763797,12.819987159353907
Hannibal - LaGrange University,913,706,Missouri,Town,NA,86.99,58.36,99.21,1,1,3,1,0,2,2,1,5,1.034441359074084,1.0007702033413846
Hanover College,1096,1081,IndiaNA,Town,NA,96.71,83.35,99.9,2,1,5,1,1,2,3,2,7,1.9001081249848566,1.5061523201087843
Hardin - Simmons University,1741,1585,Texas,Midsize City,NA,100.0,100.0,100.0,22,9,50,11,4,28,33,13,78,32.360256921471894,0.3789453101889498
Harding University,4187,3945,Arkansas,Town,NA,100.0,100.0,100.0,18,8,40,9,4,21,27,12,61,1.9405671518309144,24.556303040994013
Harris - Stowe State University,1441,1163,Missouri,Large City,NA,91.68,62.11,99.81,2,1,4,1,0,2,3,1,6,2.205539686989059,0.2792260246166253
Harrisburg University of Science and Technology,509,463,Pennsylvania,Small City,NA,67.64,46.57,88.75,1,0,1,0,0,1,1,0,2,0.925917165420752,0.20106051206627346
Hartwick College,1198,1180,New York,Town,private,97.07,87.51,99.79,2,1,4,1,1,2,3,2,6,2.6624509720485805,0.8601406100233729
Harvard University,9964,7147,Massachusetts,Midsize City,NA,100.0,100.0,100.0,35,18,73,17,8,37,52,26,110,6.309615820436498,45.42346659894588
Harvey Mudd College,867,844,California,Suburb,NA,99.18,91.04,100.0,3,2,7,2,1,3,5,3,10,2.6785493622205396,2.110129974506228
Hastings College,1156,1073,Nebraska,Town,NA,64.73,37.33,91.44,1,0,2,0,0,1,1,0,3,0.1328315770340143,0.9048839406030104
Haverford College,1293,1294,Pennsylvania,Suburb,private,99.29,92.71,99.99,3,2,7,2,1,3,5,3,10,0.36375317212958114,4.570894591684285
Hawaii Pacific University,3565,2411,Hawaii,Large City,NA,99.99,98.74,100.0,6,3,13,3,1,6,9,4,19,0.004120039293934361,8.866756038197872
Heidelberg University,1049,1031,Ohio,Town,NA,97.11,83.37,99.92,2,1,5,1,1,2,3,2,7,1.9183576304527625,1.6123072375511238
Henderson State University,2838,2565,Arkansas,Town,public,100.0,98.63,100.0,7,3,16,3,1,8,10,4,24,4.370278177863022,5.955889434877628
Hendrix College,1240,1228,Arkansas,Small City,NA,99.94,95.9,100.0,5,2,11,2,1,6,7,3,17,1.0618868832658623,6.35321567548509
Heritage University,812,734,Washington,Rural,private,94.88,85.51,99.29,2,1,3,1,1,2,3,2,5,2.966846257047555,0.0
Herzing University - Atlanta,593,365,Georgia,Large City,NA,83.09,38.59,99.62,1,0,4,1,0,2,2,0,6,1.7746661155272894,0.0
High Point University,4467,4418,North CaroliNA,Midsize City,NA,100.0,99.93,100.0,10,5,19,5,2,9,15,7,28,1.4191733296239661,12.778028961124575
Hilbert College,744,680,New York,Suburb,private,88.37,72.78,97.41,1,1,2,1,0,1,2,1,3,2.088196840822416,0.06032391430322029
Hiram College,1209,853,Ohio,Town,NA,96.96,83.73,99.89,2,1,5,1,1,2,3,2,7,2.409045940312787,1.0739618411815688
Hobart and William Smith Colleges,2239,2220,New York,Town,private,99.92,98.18,100.0,5,3,9,2,1,4,7,4,13,2.7088553462890785,4.39576657035487
Hodges University,1076,573,Florida,Suburb,NA,100.0,99.93,100.0,9,5,19,5,2,9,14,7,28,13.680643467638506,0.29453598331741015
Hofstra University,6863,6494,New York,Suburb,NA,100.0,100.0,100.0,17,9,31,8,4,15,25,13,46,10.745512910065349,13.652775251034253
Hollins University,647,632,Virginia,Suburb,NA,97.51,80.16,99.97,2,1,5,1,1,3,3,2,8,1.6725488032017568,2.003405173966831
Holy Cross College,555,526,IndiaNA,Suburb,NA,82.93,61.32,96.91,1,1,2,1,0,1,2,1,3,0.8600489407826193,0.9034736291146263
Holy Family University,2095,1630,Pennsylvania,Large City,private,99.67,95.7,100.0,4,2,8,2,1,4,6,3,12,3.503191061134318,2.186970426176423
Holy Names University,591,543,California,Large City,private,98.07,86.75,99.97,3,1,5,1,1,3,4,2,8,3.79827081691929,0.13328906688989728
Hood College,1132,1048,Maryland,Small City,NA,97.33,85.16,99.93,2,1,5,1,1,2,3,2,7,2.251308223483253,1.3638191240058002
Hope College,3150,3019,Michigan,Small City,private,100.0,99.19,100.0,7,3,15,3,1,7,10,4,22,6.98463282269562,3.0028850993802427
Hope InterNAtioNAl University,866,579,California,Suburb,NA,99.67,94.69,100.0,4,2,8,2,1,4,6,3,12,5.203411465953016,0.4984725232604459
Houghton College,1036,971,New York,Rural,private,96.58,84.53,99.83,2,1,4,1,1,2,3,2,6,1.7633662211389292,1.601720660687873
Houston Baptist University,2320,2098,Texas,Large City,NA,100.0,100.0,100.0,29,13,68,15,6,38,44,19,106,44.182693779859875,0.33855273774103906
Howard Payne University,980,860,Texas,Town,private,100.0,99.96,100.0,12,5,28,6,2,16,18,7,44,18.388286088831556,0.19430903263453173
Howard University,6354,6090,District of Columbia,Large City,NA,100.0,100.0,100.0,23,11,48,11,5,24,34,16,72,0.2051801365650707,33.48728957888839
Humboldt State University,7860,7270,California,Town,NA,100.0,100.0,100.0,37,19,75,17,8,36,54,27,111,51.19981239916638,2.6921551363933496
Humphreys University - Stockton and Modesto Campuses,324,208,California,Large City,NA,90.74,70.77,99.22,2,1,3,1,0,2,3,1,5,2.371174845244412,0.0
Huntingdon College,1101,878,Alabama,Midsize City,private,99.92,96.4,100.0,5,2,10,2,1,5,7,3,15,4.368040182084761,2.708446667922799
Huntington University,1075,859,IndiaNA,Town,NA,95.83,82.25,99.79,2,1,4,1,1,2,3,2,6,2.0001138157735334,1.1713813253022551
Huston - Tillotson University,1052,1003,Texas,Large City,NA,100.0,99.98,100.0,13,6,31,7,3,17,20,9,48,19.932042306703703,0.16541911420195585
Idaho State University,10565,6279,Idaho,Small City,public,100.0,100.0,100.0,26,9,73,15,4,45,41,13,118,36.4694881446125,3.9683072873369025
Illinois College,956,950,Illinois,Town,NA,85.62,62.65,98.42,1,1,3,1,0,1,2,1,4,1.2830354283092378,0.6523532812432917
Illinois Institute of Technology,2895,2631,Illinois,Large City,NA,99.89,96.79,100.0,5,2,10,2,1,5,7,3,15,3.313333248930449,3.4529637935951567
Illinois State University,18336,17165,Illinois,Suburb,NA,100.0,100.0,100.0,20,11,40,9,5,18,29,16,58,28.40067067132866,0.7904129738726141
Illinois Wesleyan University,1650,1646,Illinois,Small City,NA,93.96,77.1,99.71,2,1,4,1,0,2,3,1,6,2.2496201160586877,0.5530239567864131
Immaculata University,1481,885,Pennsylvania,Suburb,NA,98.79,91.18,99.98,3,2,6,1,1,3,4,3,9,2.0709129458740927,2.337183234145275
IndiaNA State University,11578,9369,IndiaNA,Small City,public,100.0,100.0,100.0,22,13,40,10,6,20,32,19,60,29.015936855971756,3.100331328348014
IndiaNA University - Bloomington,33427,32212,IndiaNA,Small City,public,100.0,100.0,100.0,68,38,128,32,17,63,100,55,191,65.71231076451389,33.867258907388006
IndiaNA University - East,3292,1887,IndiaNA,Rural,public,99.99,99.45,100.0,6,4,11,3,2,6,9,6,17,7.909021488658771,1.23488145317309
IndiaNA University - Kokomo,2877,2215,IndiaNA,Small City,NA,99.97,99.1,100.0,6,3,10,3,1,5,9,4,15,8.174750895611542,0.018184047413336138
IndiaNA University - Northwest,3700,2608,IndiaNA,Small City,NA,100.0,99.77,100.0,7,4,13,3,2,6,10,6,19,10.526313281870994,0.02506540519285446
IndiaNA University of Pennsylvania - Main Campus,10255,9526,Pennsylvania,Town,NA,100.0,100.0,100.0,16,9,30,7,4,15,23,13,45,19.357455739577595,3.871075643444085
IndiaNA University - Purdue University - Fort Wayne,9952,5913,IndiaNA,Large City,public,100.0,100.0,100.0,19,11,35,9,5,17,28,16,52,27.561568381359287,0.9376071881824148
IndiaNA University - Purdue University - IndiaNApolis,21615,17521,IndiaNA,Large City,NA,100.0,100.0,100.0,42,24,78,20,11,38,62,35,116,59.5548175173825,2.9360923592166333
IndiaNA University - South Bend,4877,3767,IndiaNA,Midsize City,NA,100.0,99.97,100.0,9,5,17,4,3,8,13,8,25,13.652205445379916,0.2665203248251679
IndiaNA University - Southeast,4824,3218,IndiaNA,Suburb,NA,100.0,99.94,100.0,9,5,18,4,2,9,13,7,27,10.654892027170723,2.876144642371673
IndiaNA Wesleyan University,2803,2634,IndiaNA,Town,private,99.96,98.55,100.0,5,3,10,2,1,5,7,4,15,4.654550579850122,3.1607407733035133
Institute of American Indian and Alaska Native Culture and Arts Development,612,264,New Mexico,Rural,NA,94.06,66.45,99.98,2,1,5,1,0,3,3,1,8,1.3405726194585796,1.4747054616709068
IoNA College,3177,2949,New York,Suburb,private,100.0,99.72,100.0,7,4,12,3,2,6,10,6,18,6.914251761834222,3.1308749696542146
Iowa State University,30573,28743,Iowa,Small City,public,100.0,100.0,100.0,55,21,143,26,9,73,81,30,216,61.381628213857276,19.464569309766226
Iowa Wesleyan University,625,550,Iowa,Town,private,83.4,52.25,98.84,1,1,3,1,0,1,2,1,4,0.6121440836661189,1.177901127052053
Ithaca College,6062,5936,New York,Suburb,NA,100.0,100.0,100.0,14,8,27,7,4,13,21,12,40,7.36959468406911,13.767852050967127
Jackson State University,6498,5935,Mississippi,Midsize City,NA,100.0,100.0,100.0,50,25,98,24,12,49,74,37,147,62.37103189173634,11.558786783877808
Jacksonville State University,7492,5523,Alabama,Small City,NA,100.0,100.0,100.0,25,11,53,12,5,26,37,16,79,30.540010478300808,6.0977374406740905
Jacksonville University,2878,2180,Florida,Large City,NA,100.0,100.0,100.0,20,10,41,10,5,20,30,15,61,25.918353395406683,3.858390415496355
James Madison University,19972,18905,Virginia,Small City,NA,100.0,100.0,100.0,64,30,120,33,14,64,97,44,184,73.62360593905665,23.52101995769828
University of Jamestown,916,871,North Dakota,Town,NA,99.4,84.72,100.0,3,1,9,2,1,6,5,2,15,3.248640838398491,1.8368440083665103
