school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Pennsylvania State University - Lehigh Valley,899,739,Pennsylvania,Suburb,public,87.32,68.19,98.22,1,1,3,1,0,1,2,1,4,1.7880265459295563,0.2733975515455226
Pennsylvania State University - New Kensington,597,484,Pennsylvania,Rural,NA,72.52,50.83,92.1,1,0,2,0,0,1,1,0,3,1.2044345482997705,0.08567886026084785
Pennsylvania State University - Schuylkill,733,595,Pennsylvania,Town,NA,85.31,65.65,97.49,1,1,2,1,0,1,2,1,3,1.142350293232772,0.7717949769703402
Pennsylvania State University - SheNAngo,490,241,Pennsylvania,Suburb,NA,64.35,43.57,86.38,1,0,1,0,0,1,1,0,2,0.8898743226269783,0.14032415574525695
Pennsylvania State University - Wilkes - Barre,456,387,Pennsylvania,Rural,NA,64.36,43.57,86.66,1,0,1,0,0,1,1,0,2,0.8940132729647782,0.136101278781326
Pennsylvania State University - Worthington Scranton,1030,904,Pennsylvania,Suburb,public,88.44,69.99,98.48,1,1,3,1,0,1,2,1,4,2.100517296433449,0.05453522783570163
Pennsylvania State University - York,966,793,Pennsylvania,Suburb,NA,88.98,70.23,98.66,2,1,3,1,0,1,3,1,4,1.7694012694094567,0.4325264819731576
Pepperdine University,3603,3300,California,Suburb,NA,100.0,100.0,100.0,17,8,35,7,4,16,24,12,51,14.525500711345009,9.532073605463367
Peru State College,2046,1105,Nebraska,Rural,public,81.51,54.67,97.64,1,1,3,1,0,1,2,1,4,0.2535721430893418,1.4306460937302634
Pfeiffer University,812,733,North CaroliNA,Rural,NA,92.7,71.17,99.64,2,1,4,1,0,2,3,1,6,0.7963503987808191,1.8094150866721879
Cairn University,770,727,Pennsylvania,Suburb,private,90.28,71.9,98.96,2,1,3,1,0,1,3,1,4,0.9105690743159778,1.4147878684206765
Thomas Jefferson University,2690,2279,Pennsylvania,Large City,private,99.99,99.48,100.0,7,4,13,3,2,6,10,6,19,2.5516628832536377,7.087060553008833
Philander Smith College,893,845,Arkansas,Midsize City,private,94.17,71.18,99.85,2,1,4,1,0,2,3,1,6,0.5944527761985945,2.234795518143938
Piedmont College,1281,1160,Georgia,Town,NA,98.32,70.12,100.0,3,1,8,1,0,4,4,1,12,3.6676967201836614,0.4087813433638704
University of Pikeville,1562,1049,Kentucky,Town,NA,99.21,88.07,100.0,3,1,8,2,1,4,5,2,12,3.1336365373306934,1.7004349875045186
Pine Manor College,419,417,Massachusetts,Suburb,NA,80.11,59.48,95.09,1,1,2,1,0,1,2,1,3,1.3877681930202173,0.22353274983082216
Pittsburg State University,5709,5109,Kansas,Town,NA,99.81,94.6,100.0,4,2,9,2,1,4,6,3,13,2.9650775249174486,3.3157393617960023
Pitzer College,1070,1046,California,Suburb,NA,99.4,93.15,100.0,3,2,7,2,1,3,5,3,10,3.126204034145322,1.9719832420521728
Platt College - Aurora,236,236,Colorado,Large City,private,20.7,8.03,49.06,0,0,0,0,0,0,0,0,0,0.23181540842619924,0.0
Plymouth State University,4148,3971,New Hampshire,Town,NA,99.96,96.46,100.0,5,2,10,2,1,5,7,3,15,1.763402084368268,5.971090459938151
Point Loma Nazarene University,3097,2571,California,Large City,private,100.0,100.0,100.0,14,7,29,7,3,14,21,10,43,18.413122121488254,2.3731521699504343
Point Park University,3282,2758,Pennsylvania,Large City,private,100.0,99.45,100.0,7,4,14,3,2,6,10,6,20,4.4162600104324925,5.500439282435905
PomoNA College,1600,1578,California,Suburb,private,99.98,98.45,100.0,6,3,12,3,1,6,9,4,18,3.799765559066562,4.490662048123556
Portland State University,21163,13990,Oregon,Large City,NA,100.0,100.0,100.0,30,18,59,15,8,32,45,26,91,24.67321530636495,19.999437765696083
Post University,7845,2617,Connecticut,Suburb,private,100.0,100.0,100.0,19,9,42,9,4,20,28,13,62,1.4970317999815346,26.557502081087772
University of the Potomac - VA Campus,37,37,Virginia,Suburb,NA,17.7,7.96,30.54,0,0,0,0,0,0,0,0,0,0.19433503565897478,0.0
Prairie View A & M University,7977,7341,Texas,Town,NA,100.0,100.0,100.0,92,40,216,34,14,81,126,54,297,122.78693698610869,3.4439676483540373
Pratt Institute - Main,3642,3537,New York,Large City,NA,100.0,99.98,100.0,12,6,23,5,3,11,17,9,34,2.8531007098481034,13.936118066243246
Presbyterian College,1014,975,South CaroliNA,Town,NA,100.0,99.73,100.0,8,4,16,4,2,9,12,6,25,10.57223045373368,1.4894278503163465
Prescott College,386,291,ArizoNA,Small City,NA,80.52,55.51,97.58,1,1,2,1,0,1,2,1,3,0.29290986007031256,1.3367713965343855
Presentation College,762,475,South Dakota,Town,private,82.9,61.66,96.29,1,1,2,1,0,1,2,1,3,1.211395870803433,0.5512400572696781
