school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Oral Roberts University,3384,2866,Oklahoma,Large City,private,100.0,99.12,100.0,9,3,28,5,2,13,14,5,41,3.6426638763654897,10.286505963749523
Oregon Institute of Technology,5380,2284,Oregon,Town,NA,100.0,99.65,100.0,8,4,22,4,2,10,12,6,32,8.869247454680513,2.793063136650516
Oregon State University,25835,18829,Oregon,Small City,NA,100.0,100.0,100.0,44,22,106,24,11,56,68,33,162,36.252402793527594,31.574995326377337
Ottawa University - Online,156,85,Kansas,Town,NA,29.26,12.93,54.31,0,0,1,0,0,0,0,0,1,0.029752054751676464,0.315551338975372
Ottawa University - Ottawa,669,646,Kansas,Town,NA,56.25,26.51,86.51,1,0,1,0,0,1,1,0,2,0.26090263397623975,0.5642891740646894
Otterbein University,2483,2294,Ohio,Suburb,private,99.51,87.83,100.0,4,1,8,2,1,4,6,2,12,4.3765557394598975,0.9266052613563688
Ouachita Baptist University,1542,1500,Arkansas,Town,private,98.97,79.86,100.0,3,1,8,1,0,4,4,1,12,0.9668749187565472,3.5988499399772023
University of Holy Cross,912,457,LouisiaNA,Large City,private,99.5,85.62,100.0,3,1,9,2,1,5,5,2,14,5.224028955628625,0.061562909998962814
Our Lady of the Lake University,1344,1221,Texas,Large City,NA,99.95,94.61,100.0,5,2,13,2,1,5,7,3,18,7.446167783106971,0.2006720634491252
Pace University - New York,8670,7878,New York,Large City,NA,100.0,100.0,100.0,18,9,39,9,4,21,27,13,60,13.245402533651653,13.434520166194366
Pacific Lutheran University,2764,2655,Washington,Suburb,NA,100.0,99.91,100.0,10,5,34,5,3,15,15,8,49,11.453421560317093,3.732653204763033
Pacific Union College,1227,1077,California,Rural,NA,99.91,95.37,100.0,5,2,11,2,1,6,7,3,17,6.184118273759293,0.8042260472792017
Pacific University,1876,1818,Oregon,Suburb,NA,99.68,91.39,100.0,4,2,13,2,1,6,6,3,19,1.4234366751787417,4.302595248249097
Paine College,425,328,Georgia,Midsize City,NA,81.81,39.77,99.68,1,0,4,1,0,2,2,0,6,0.7658219547118541,0.9304184939707157
Palm Beach Atlantic University,3005,2350,Florida,Midsize City,NA,100.0,100.0,100.0,19,8,45,10,4,25,29,12,70,26.311727325450278,3.5113311280442456
Park University,9864,4134,Missouri,Suburb,NA,100.0,98.75,100.0,9,3,27,4,1,14,13,4,41,9.375382023630541,4.025283062514953
Paul Quinn College,518,492,Texas,Large City,private,94.4,66.73,99.9,2,1,5,1,0,2,3,1,7,2.257796663177918,0.6145501741064874
Paul Smiths College of Arts and Science,768,760,New York,Rural,private,82.46,57.62,97.59,1,1,2,1,0,1,2,1,3,1.1861184919833878,0.5517393493604634
William Peace University,932,814,North CaroliNA,Large City,NA,72.91,38.51,96.4,1,0,2,0,0,1,1,0,3,0.8597219679856671,0.4437770634357361
Peirce College,1388,307,Pennsylvania,Large City,NA,92.75,74.01,99.66,2,1,4,1,0,2,3,1,6,2.320705556956089,0.30026758273765913
Pennsylvania State University - Brandywine,1439,1245,Pennsylvania,Suburb,NA,94.19,76.68,99.79,2,1,4,1,0,2,3,1,6,2.4367408348038935,0.40460220596400437
Pennsylvania State University - University Park,40833,39785,Pennsylvania,Small City,NA,100.0,100.0,100.0,72,34,162,37,17,86,109,51,248,47.64879901747108,61.73906703146938
Pennsylvania State University - Abington,3891,3312,Pennsylvania,Suburb,NA,99.97,98.27,100.0,5,3,11,3,1,6,8,4,17,6.487097252178818,1.5367303392523914
Pennsylvania State University - AltooNA,3478,3374,Pennsylvania,Small City,NA,99.97,98.11,100.0,5,3,12,3,1,6,8,4,18,5.129121891116231,2.908843601074542
Pennsylvania State University - Beaver,652,563,Pennsylvania,Suburb,NA,73.77,49.07,94.59,1,0,2,0,0,1,1,0,3,1.0370652957647524,0.29908485023848785
Pennsylvania State University - Berks,2718,2411,Pennsylvania,Suburb,public,99.64,94.2,100.0,4,2,8,2,1,4,6,3,12,4.441975480111265,1.1768070823515522
Pennsylvania State University - Erie - Behrend College,4341,4138,Pennsylvania,Suburb,NA,99.99,98.85,100.0,6,3,12,3,2,7,9,5,19,6.958490568435524,1.8533178082236348
Pennsylvania State University - Greater Allegheny,497,453,Pennsylvania,Suburb,public,63.52,39.73,88.75,1,0,1,0,0,1,1,0,2,0.8068077912855154,0.2002719837325695
