school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of Science and Arts of Oklahoma,881,727,Oklahoma,Town,public,96.49,62.48,100.0,2,1,6,1,0,4,3,1,10,2.909078389716095,0.4320484002490856
University of Scranton,3809,3630,Pennsylvania,Small City,private,100.0,99.69,100.0,8,4,19,4,2,10,12,6,29,2.657723176750895,9.592767255163812
University of Sioux Falls,1214,1036,South Dakota,Midsize City,private,98.15,74.05,100.0,3,1,8,1,0,4,4,1,12,1.6659147160317345,2.304540809903993
University of South Alabama,10986,9090,Alabama,Midsize City,public,100.0,100.0,100.0,41,16,97,21,8,51,62,24,148,37.5841340925558,24.557301136356706
University of South CaroliNA - Aiken,3352,2716,South CaroliNA,Suburb,public,100.0,100.0,100.0,41,17,94,22,9,52,63,26,146,62.048428972503096,1.4423427444300563
University of South CaroliNA - Beaufort,2078,1797,South CaroliNA,Town,NA,100.0,100.0,100.0,25,10,57,13,5,31,38,15,88,37.09372373141378,0.9365389364006262
University of South CaroliNA - Columbia,26363,25243,South CaroliNA,Midsize City,NA,100.0,100.0,100.0,229,93,524,124,49,288,353,142,812,312.026088458222,40.91894599274854
University of South CaroliNA - Upstate,5776,4583,South CaroliNA,Suburb,public,100.0,100.0,100.0,73,30,166,40,16,91,113,46,257,110.74803862540954,2.1410536194726535
University of South Dakota,7652,4908,South Dakota,Town,public,100.0,99.98,100.0,13,6,30,7,3,16,20,9,46,14.897067588012131,5.338088266702799
University of South Florida - Main Campus,31773,24672,Florida,Large City,NA,100.0,100.0,100.0,295,125,677,157,64,375,452,189,1052,443.60244345386644,8.347524232050647
University of South Florida - St. Petersburg,4251,2845,Florida,Large City,NA,100.0,100.0,100.0,40,17,91,21,9,50,61,26,141,60.19143716349198,0.5497114530377621
University of Southern California,19174,18631,California,Large City,private,100.0,100.0,100.0,77,31,195,40,16,104,117,47,299,67.89819896863851,49.43210861982632
University of Southern IndiaNA,9689,6588,IndiaNA,Suburb,NA,100.0,100.0,100.0,17,9,37,9,4,20,26,13,57,24.67461319660925,1.6588157026662431
University of Southern Maine,6110,3901,Maine,Small City,NA,99.78,81.01,100.0,4,1,10,2,1,5,6,2,15,4.073117096533447,2.031519538031169
University of Southern Mississippi,11809,10384,Mississippi,Small City,NA,100.0,100.0,100.0,94,41,207,48,20,108,142,61,315,126.26259087384231,16.034271978447823
University of St Francis,1600,1291,Illinois,Suburb,NA,94.33,72.22,99.93,2,1,5,1,0,2,3,1,7,1.615275680605174,1.2440964437475486
University of St Thomas Minnesota,6197,5945,Minnesota,Large City,NA,99.18,82.06,100.0,3,1,9,2,1,5,5,2,14,1.6048664090019753,3.175006981984092
University of St. Thomas - Houston,1815,1434,Texas,Large City,NA,100.0,100.0,100.0,29,9,78,16,5,42,45,14,120,44.92423356789433,0.3948592976982688
University of the Cumberlands,3317,1828,Kentucky,Town,NA,99.99,94.9,100.0,6,2,17,3,1,9,9,3,26,4.810306860265344,4.196833212712551
University of the District of Columbia,3858,1830,District of Columbia,Large City,public,100.0,99.44,100.0,8,3,18,4,2,10,12,5,28,6.4520609142899294,5.864129815822913
University of the IncarNAte Word,5996,4461,Texas,Large City,NA,100.0,100.0,100.0,98,30,264,54,16,141,152,46,405,151.22309060492944,0.9539995198084287
University of the Ozarks,756,747,Arkansas,Town,NA,99.36,77.27,100.0,3,1,9,2,1,5,5,2,14,0.5797953675434026,4.420124495560824
University of the Pacific,3552,3452,California,Large City,private,100.0,99.99,100.0,14,6,34,7,3,18,21,9,52,18.99188356396144,1.971694108484396
University of the Southwest,509,417,New Mexico,Rural,NA,97.82,67.3,100.0,2,1,7,1,0,4,3,1,11,1.1289406545066147,2.6671404920412813
University of the West,185,148,California,Suburb,NA,66.58,38.71,93.18,1,0,2,0,0,1,1,0,3,1.0928455550024467,0.0
University of Toledo,16191,13056,Ohio,Large City,public,100.0,100.0,100.0,23,9,54,12,4,29,35,13,83,28.084011537124745,6.308217924143966
University of Tulsa,3347,3203,Oklahoma,Large City,private,100.0,99.88,100.0,14,4,40,8,2,22,22,6,62,5.993113144851437,16.117495426207444
University of Utah,24637,18066,Utah,Midsize City,NA,100.0,100.0,100.0,114,25,409,62,12,233,176,37,642,139.29896650117985,36.09792206897375
University of Vermont,11341,10395,Vermont,Small City,NA,100.0,100.0,100.0,17,7,40,9,4,21,26,11,61,0.006356027818681326,25.309697425500758
University of Virginia - Main Campus,16658,15766,Virginia,Suburb,public,100.0,100.0,100.0,80,25,177,46,13,105,126,38,282,100.74747323784342,24.47221447949205
University of Washington - Bothell Campus,5365,4641,Washington,Suburb,NA,100.0,100.0,100.0,20,11,40,11,6,24,31,17,64,30.222685892832004,0.8059057172879344
University of Washington - Seattle Campus,31328,28759,Washington,Large City,public,100.0,100.0,100.0,114,60,251,65,33,146,179,93,397,148.86962399635885,30.50075339470948
University of Washington - Tacoma Campus,4436,3945,Washington,Midsize City,NA,100.0,100.0,100.0,16,9,32,9,5,19,25,14,51,25.048195732392585,0.24594852560167008
University of West Alabama,2111,1843,Alabama,Rural,NA,100.0,97.96,100.0,7,3,16,4,1,9,11,4,25,8.251624428267414,2.1628434523258053
University of West Georgia,11230,8938,Georgia,Town,public,100.0,99.03,100.0,19,3,81,10,1,46,29,4,127,26.835346999695272,1.4309559958599771
University of Wisconsin - Eau Claire,10184,9476,Wisconsin,Small City,public,98.18,88.05,99.98,3,1,6,1,1,3,4,2,9,2.9809712364224548,1.0229216698268113
University of Wisconsin - Green Bay,6812,4095,Wisconsin,Midsize City,public,96.32,82.11,99.91,2,1,5,1,1,2,3,2,7,2.5617285267369203,0.739064609029939
University of Wisconsin - La Crosse,9701,9094,Wisconsin,Small City,NA,98.96,89.89,100.0,3,2,7,2,1,4,5,3,11,3.222703950094609,1.3425584695814572
University of Wisconsin - Madison,31358,28977,Wisconsin,Large City,NA,100.0,100.0,100.0,21,10,49,11,5,26,32,15,75,7.780921308397753,24.523344486208707
University of Wisconsin - Milwaukee,20356,17076,Wisconsin,Large City,NA,99.99,99.19,100.0,6,3,12,3,2,6,9,5,18,7.675612007392061,1.1686951008136832
University of Wisconsin - Oshkosh,12410,7994,Wisconsin,Small City,NA,99.5,94.48,100.0,4,2,7,2,1,4,6,3,11,4.824681801756937,0.46272325378752144
University of Wisconsin - Parkside,4135,3275,Wisconsin,Suburb,NA,87.79,67.4,98.83,1,1,3,1,0,2,2,1,5,1.489089472175167,0.6120647426389189
University of Wisconsin - Platteville,7614,6723,Wisconsin,Town,NA,99.62,90.93,100.0,4,2,10,2,1,5,6,3,15,2.35190772246043,3.2038335254231587
University of Wisconsin - River Falls,5680,5014,Wisconsin,Town,NA,89.5,67.58,99.3,2,1,3,1,0,2,3,1,5,1.068650065887295,1.1840779494349836
University of Wisconsin - Stevens Point,7896,7224,Wisconsin,Town,NA,98.29,86.56,99.99,3,1,6,1,1,3,4,2,9,2.8940112833192706,1.1662176641852529
University of Wisconsin - Stout,8129,6605,Wisconsin,Town,public,96.98,83.02,99.95,2,1,5,1,1,3,3,2,8,2.0718807175134795,1.4262194557127283
University of Wisconsin - Superior,2373,1829,Wisconsin,Suburb,NA,75.35,44.93,96.87,1,0,2,0,0,1,1,0,3,0.5301365948354667,0.8665187918884598
University of Wisconsin - Whitewater,11128,9830,Wisconsin,Town,NA,99.74,95.6,100.0,4,2,8,2,1,4,6,3,12,3.870515710826586,2.0941596948690044
University of Wyoming,9796,8281,Wyoming,Town,NA,100.0,95.96,100.0,8,2,40,4,1,20,12,3,60,0.0008330026716322777,12.80572318828997
Upper Iowa University,4275,2107,Iowa,Rural,private,100.0,97.47,100.0,8,2,26,4,1,14,12,3,40,5.969979283577253,6.468325184422738
Ursinus College,1507,1489,Pennsylvania,Suburb,private,99.23,88.76,100.0,3,1,7,2,1,4,5,2,11,1.460843759737907,3.393622283001843
Ursuline College,620,455,Ohio,Suburb,private,71.88,38.82,95.06,1,0,2,0,0,1,1,0,3,1.1077084822281977,0.15943063353722423
Utah State University,24621,17188,Utah,Small City,public,100.0,100.0,100.0,113,23,414,62,11,239,175,34,653,135.0814495433937,39.84654574846068
Utah Valley University,36870,18404,Utah,Small City,NA,100.0,100.0,100.0,169,36,603,92,17,350,261,53,953,234.1397567744992,27.049129320581336
Utica College,3686,2901,New York,Small City,NA,99.99,99.13,100.0,6,3,13,3,2,7,9,5,20,7.417406517809236,2.081949224632277
Valdosta State University,8774,7166,Georgia,Small City,NA,100.0,98.26,100.0,15,3,65,8,1,37,23,4,102,20.95305847173659,2.2464380217504574
Valley City State University,1373,834,North Dakota,Town,NA,100.0,95.02,100.0,11,2,38,6,1,22,17,3,60,15.28933024830855,1.26208083080532
University of Valley Forge,700,589,Pennsylvania,Suburb,NA,92.15,63.42,99.73,2,1,4,1,0,2,3,1,6,0.5188888106989843,2.016340889513017
Valparaiso University,3228,3153,IndiaNA,Suburb,NA,99.97,97.16,100.0,5,2,13,3,1,7,8,3,20,3.3659658970713355,4.851474444576002
Vanderbilt University,6888,6805,Tennessee,Large City,NA,100.0,100.0,100.0,24,9,62,13,4,33,37,13,95,1.991692432002649,34.68919262755458
Vanguard University of Southern California,1842,1524,California,Midsize City,NA,100.0,99.31,100.0,8,3,21,4,2,11,12,5,32,8.914075364857796,3.3330870428394697
Vassar College,2352,2334,New York,Suburb,private,99.99,98.11,100.0,6,3,15,3,1,8,9,4,23,1.4923614709925466,7.911130557014218
Villanova University,6948,6525,Pennsylvania,Suburb,NA,100.0,100.0,100.0,17,8,39,9,4,21,26,12,60,1.9670767457856964,23.956533001779547
Virginia Commonwealth University,23666,20036,Virginia,Midsize City,NA,100.0,100.0,100.0,119,35,258,69,19,157,188,54,415,179.79715912024832,8.016999550515344
Virginia Military Institute,1724,1722,Virginia,Town,public,100.0,97.61,100.0,8,2,17,4,1,10,12,3,27,8.64240972711814,3.363089084451415
Virginia Tech,27189,26603,Virginia,Small City,public,100.0,100.0,100.0,120,37,265,69,20,158,189,57,423,158.98363376391652,29.551866178921887
