 ,0,0,na,na,na
Cornell University,14907,14898,New York,Small City,na
Cornerstone University,1757,1260,Michigan,Midsize City,na
Covenant College,1033,983,Georgia,Rural,private
Creighton University,4256,4011,Nebraska,Large City,na
Crown College,1055,698,Minnesota,Rural,na
Culver - Stockton College,1092,969,Missouri,Rural,na
Cumberland University,1974,1578,Tennessee,Town,na
CUNY Bernard M Baruch College,15253,11598,New York,Large City,na
CUNY Brooklyn College,14691,10786,New York,Large City,na
CUNY City College,13211,10225,New York,Large City,public
College of Staten Island CUNY,12509,9710,New York,Large City,public
CUNY Graduate School and University Center,2066,418,New York,Large City,na
CUNY Hunter College,16846,12612,New York,Large City,na
CUNY John Jay College of Criminal Justice,12916,10276,New York,Large City,public
CUNY Lehman College,11978,7216,New York,Large City,na
CUNY Queens College,16680,12149,New York,Large City,na
CUNY York College,8393,5056,New York,Large City,na
Curry College,2561,2059,Massachusetts,Suburb,private
Daemen College,1799,1560,New York,Suburb,na
Dakota State University,2963,1397,South Dakota,Town,public
Dakota Wesleyan University,793,668,South Dakota,Town,na
Dallas Baptist University,3159,2423,Texas,Large City,na
Dartmouth College,4415,4360,New Hampshire,Town,na
Davenport University,5597,2621,Michigan,Suburb,na
Davidson College,1812,1810,North Carolina,Suburb,private
Davis & Elkins College,839,785,West Virginia,Town,na
Defiance College,583,525,Ohio,Town,na
Delaware State University,4054,3571,Delaware,Small City,na
Delaware Valley University,1991,1756,Pennsylvania,Suburb,private
Delta State University,3034,2198,Mississippi,Town,na
Denison University,2344,2319,Ohio,Suburb,na
DePaul University,14822,12886,Illinois,Large City,na
DePauw University,2156,2140,Indiana,Town,na
DeSales University,2350,1811,Pennsylvania,Suburb,private
Dickinson College,2386,2346,Pennsylvania,Small City,private
Dickinson State University,1426,922,North Dakota,Town,public
DigiPen Institute of Technology,1024,964,Washington,Small City,na
Dillard University,1292,1200,Louisiana,Large City,na
Doane University,1066,1062,Nebraska,Town,na
Dominican College of Blauvelt,1420,1271,New York,Suburb,private
Dominican University,2171,2014,Illinois,Suburb,na
Dominican University of California,1304,1135,California,Small City,private
Dordt College,1445,1341,Iowa,Town,na
Drake University,3100,2955,Iowa,Midsize City,na
Drew University,1534,1507,New Jersey,Suburb,private
Drexel University,15528,13572,Pennsylvania,Large City,private
Drury University,3277,2478,Missouri,Midsize City,na
Duke University,6699,6669,North Carolina,Large City,na
Duquesne University,5941,5826,Pennsylvania,Large City,na
D'Youville College,1734,1295,New York,Large City,private
Earlham College,1061,1051,Indiana,Town,private
East Carolina University,23267,19999,North Carolina,Small City,public
East Central University,3082,2551,Oklahoma,Town,na
East Stroudsburg University of Pennsylvania,6051,5552,Pennsylvania,Small City,public
East Tennessee State University,11319,9641,Tennessee,Small City,na
East Texas Baptist University,1421,1216,Texas,Town,na
